name,price,used_for,transmission,colour,make_year,mileage,engine_cc,fuel,kilometer_run,warranty,types
Chevrolet Optra (Chevrolet),12.5,personal,Manual -  2WD,Other,2012.0,15.0,1400.0,Petrol,38000.0,No Warranty,Sedan
Grand i10 Magna New shape (Hyundai),23.0,personal,Manual -  2WD,Other,2018.0,14.0,1200.0,Petrol,27000.0,No Warranty,Sedan
volswagen Tiguan (Volkswagen),31.5,personal,Manual -  2WD,Other,2010.0,15.0,2000.0,Petrol,75000.0,No Warranty,Sedan
Suzuki Breeza zxi plus (Maruti Suzuki),39.75,personal,Manual -  2WD,Red,2021.0,15.0,1300.0,Petrol,30000.0,No Warranty,Sedan
Hyundai i10Magna (Hyundai),12.65,personal,Manual -  2WD,Blue,2009.0,15.0,1197.0,Petrol,61000.0,No Warranty,Sedan
Green Indica (Tata),3.95,personal,Manual -  2WD,Green,2003.0,20.0,1400.0,Diesel,75000.0,No Warranty,Sedan
Tata Indica (Tata),3.9,personal,Manual -  2WD,Black,2000.0,13.0,1400.0,Petrol,90000.0,No Warranty,Sedan
Bolero pickup Fully loaded (Mahindra),15.5,personal,Manual -  4WD,White,2016.0,13.0,2523.0,Diesel,45000.0,No Warranty,SUV
Ford Ecosport Titanium push bottom (Ford),24.25,personal,Manual -  2WD,Other,2016.0,13.0,1500.0,Petrol,38000.0,No Warranty,Sedan
Hyundai I20 Elite Asta (Hyundai),22.75,personal,Manual -  2WD,Silver,2015.0,14.0,1200.0,Petrol,40000.0,No Warranty,Sedan
Nissan March (Nissan),15.25,personal,Manual -  2WD,Silver,2014.0,14.0,1197.0,Petrol,38000.0,No Warranty,Sedan
Suzuki Swift VXI 2009 for sale (Maruti Suzuki),13.99,11 years,Manual -  2WD,Other,2009.0,14.0,1300.0,Petrol,52000.0,No warranty.,Sedan
Diahatsu Sirion (Daihatsu),8.75,personal,Manual -  2WD,Silver,2007.0,14.0,1000.0,Petrol,61000.0,No Warranty,Sedan
Hyyundai Tucson (Hyundai),21.5,personal,Manual -  4WD,Red,2007.0,13.0,2000.0,Diesel,78000.0,No Warranty,Sedan
Suzuki cargo van (Maruti Suzuki),5.4,personal,Manual -  2WD,White,2014.0,14.0,800.0,Petrol,610000.0,No Warranty,Hatchback
Toyota Yaris silver colour one hand 2007 (Toyota),14.0,Private,Auto 2WD,Silver,2007.0,14.0,1400.0,Petrol,100000.0,No,Sedan
Suzuki Swift Dezire New Shape (Maruti Suzuki),21.9,personal,Manual -  2WD,Other,2017.0,14.0,1197.0,Petrol,38000.0,No Warranty,Sedan
wagon r (Maruti Suzuki),13.75,Private,Manual -  2WD,Silver,2014.0,16.0,1000.0,Petrol,28000.0,no,Sedan
Grand i10 Asta 2014 (Hyundai),21.25,personal,Manual -  2WD,Other,2014.0,15.0,1197.0,Petrol,48000.0,No Warranty,Sedan
Ford Fiesta Classic (Ford),11.5,personal,Manual -  2WD,White,2014.0,16.0,1400.0,Diesel,70.0,No Warranty,Sedan
Toyota fortuner 2015 model (Toyota),97.0,personal,Manual -  4WD,White,2015.0,16.0,3000.0,Diesel,86649.0,No Warranty,SUV
